hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
6c,4h,9h,9s,Qd,Th,9d,0.3995,0.1465
2d,Td,Qh,Tc,Kd,9d,Ks,0.441,0.6025
Js,6c,8h,2d,7h,5d,Th,0.5125,0.079
Td,Ah,Kd,6s,5h,Qd,3s,0.617,0.326
2d,8d,2c,5s,7h,6h,3c,0.408,0.314
7c,Th,2d,4s,9d,6d,9h,0.5135,0.085
7s,Td,2c,3d,Jc,8c,7c,0.468,0.405
3h,Qc,5c,2c,9d,Qs,Ts,0.5015,0.818
Kc,5c,2h,8h,9c,Qh,5h,0.5705,0.344
Ad,Jc,6c,3h,3d,As,5c,0.6185,0.8405
3d,Kd,8h,Jh,Ac,4s,5h,0.5505,0.28
4h,Qh,Ks,8h,6c,9s,Js,0.5195,0.189
7s,As,8d,9h,3d,Kc,Ad,0.61,0.8195
Jh,8h,Kc,2s,4h,8d,Ad,0.523,0.6935
4c,7d,As,6c,8h,Td,4h,0.355,0.42
9s,Ac,5c,2s,6c,Qc,2d,0.622,0.461
Ah,Kc,4s,Kd,Ks,6h,8s,0.6675,0.9205
As,Jh,Qh,Kh,5s,Ah,Th,0.6285,1.0
4c,7s,Ac,6s,4d,9h,6c,0.406,0.613
7s,9s,8s,9c,Ac,2s,7h,0.4955,0.885
7c,As,2d,Ts,8h,Qs,5h,0.5995,0.3065
4d,9d,Jc,3c,6s,4h,6c,0.4485,0.6085
4c,Ks,Qs,7h,3d,9h,6h,0.5105,0.1635
Ah,8c,5h,2s,7c,6s,4h,0.6105,0.926
Ah,5h,4d,3c,9h,5s,Th,0.6045,0.6325
Qd,Ah,8h,Js,2h,2c,2d,0.6215,0.6485
As,Ad,3c,7s,6c,7d,Kd,0.8505,0.8795
9h,Th,Jc,5s,8s,5c,9d,0.543,0.672
Js,Td,4h,4c,Ah,5s,9d,0.582,0.257
2c,4h,8c,8d,7h,5s,8s,0.344,0.014
6c,4s,Td,6s,8s,2h,Qs,0.389,0.4685
9s,6s,Qd,3s,8c,5d,Qh,0.469,0.106
7c,Ts,9s,3c,8h,2h,5s,0.488,0.0405
Qd,2h,4c,Kh,Qc,8c,6c,0.4795,0.45
Kh,2d,5c,5s,4d,8d,8s,0.531,0.5615
Ad,4h,2d,Qh,7c,Ac,7s,0.5505,0.845
Ac,2s,6s,3d,Ah,Ad,Kh,0.564,0.947
3s,Td,8s,Js,5d,2c,Ks,0.4355,0.1545
8d,Kd,Jd,2h,9h,7c,9s,0.572,0.36
Kd,5c,8c,Tc,4d,7c,4s,0.54,0.26
4s,2d,2c,4h,Qh,2h,3d,0.3575,0.9905
6h,7s,Qs,8h,Ad,Kc,4h,0.4185,0.1115
5c,Ah,5d,7h,Js,Ad,5s,0.596,0.994
3s,Ah,9h,3d,7h,Ad,Tc,0.554,0.942
5d,Jd,Jh,9h,2d,Qs,4d,0.496,0.723
Jd,5c,3d,5d,Ts,7d,Js,0.483,0.9305
Kd,2d,4c,Ks,Ah,9c,Jd,0.548,0.742
9s,Kh,7s,Qh,9c,Jh,5d,0.5685,0.665
6d,2h,9c,Ah,8s,Qh,Th,0.359,0.0885
7d,5h,8d,Qc,Kh,Jd,8c,0.3965,0.189
Th,5s,As,9d,Js,3d,Kc,0.465,0.2505
3s,3d,Qd,Ah,5c,Jd,8h,0.565,0.387
9c,5h,8s,7s,2s,Ts,Ah,0.4055,0.0505
Qs,Tc,9h,4d,Kc,4h,8s,0.553,0.384
9d,Qs,Js,Jh,3h,6h,7d,0.527,0.2505
2c,Ad,5s,7c,Ah,7d,4s,0.5285,0.7945
Js,7d,2d,Tc,8c,Jd,Jc,0.511,0.8775
Js,2d,As,4c,4h,Td,Kh,0.459,0.367
7c,3c,8d,Jd,Kc,6h,Tc,0.4075,0.0975
Jc,Ah,3h,5c,4s,Jh,Tc,0.647,0.828
3s,6h,Th,Ts,Jh,5c,4d,0.356,0.02
3c,Qs,4d,3h,2c,9h,4s,0.51,0.6845
Ah,5h,7h,Js,8s,8c,4c,0.604,0.406
9c,Tc,6d,6c,7d,3d,Ks,0.5375,0.1715
5s,Th,8c,As,3d,5d,6s,0.44,0.508
7h,Js,2c,Jd,9c,Ks,Tc,0.4745,0.606
3c,Js,Jc,5s,Jh,Tc,3h,0.456,0.9885
Th,7c,9s,Tc,Qs,4s,Qd,0.4855,0.7795
Jh,4d,Jd,8s,Tc,3d,Qd,0.467,0.5685
Qh,6s,Ad,Kc,Qc,Qs,Kh,0.4685,0.8815
Kc,9s,9h,Kd,2h,Qc,Ah,0.599,0.8975
Qd,8c,3s,2c,Qc,Kc,Td,0.53,0.7195
4c,8c,9c,Qh,Jh,Ks,Qd,0.422,0.1445
As,8h,8c,Tc,Kd,Ks,3d,0.609,0.747
Qc,3c,6h,As,6d,Js,Ks,0.5115,0.451
Ks,Qc,4h,Js,As,Ac,Jd,0.624,0.7715
9d,3c,8h,6h,9h,Kd,Ks,0.398,0.7545
4c,6d,7c,8s,Qs,Qh,Jc,0.4015,0.0645
Tc,2h,9d,Kh,2d,Ac,7c,0.4265,0.4615
8s,6c,5d,Th,7h,Qh,6d,0.4265,0.489
3h,4d,5s,9h,6s,5c,3c,0.332,0.521
7d,8c,Jh,Ks,As,Kh,Jd,0.44,0.358
3s,9s,Th,7h,Qd,2s,Jd,0.4355,0.1555
As,8h,Th,9s,Td,Ac,Qs,0.6185,0.8235
Ks,Kd,7d,Qs,2h,Jh,4d,0.818,0.883
8s,2c,4s,5d,9h,4h,Tc,0.364,0.1115
7s,6h,Ac,5s,2h,Ad,6d,0.4065,0.8135
3d,Th,Js,Ts,9s,Ks,Jc,0.419,0.3045
3h,8c,Kh,2d,5d,6h,3s,0.4005,0.4205
2h,5c,5s,3c,6d,3h,Kc,0.3335,0.562
3h,Th,5s,Kd,Js,7d,9c,0.476,0.132
7h,8h,Ac,7d,9d,Ks,4s,0.4875,0.56
Ad,Qs,Ac,7h,Jh,6h,8c,0.6365,0.8115
5c,9c,9d,5h,Kh,7h,4h,0.438,0.5975
3d,Kc,5s,2s,Ad,7c,Ac,0.503,0.452
Tc,8d,Kh,4c,Ks,Jh,9s,0.5255,0.24
3d,Ah,2s,6d,7c,5h,Js,0.576,0.287
5h,Js,3c,3s,Ah,Qh,9d,0.4955,0.325
Jc,Jh,9s,Tc,6s,Js,3c,0.7665,0.921
Ts,Ks,5c,2s,3h,7h,8c,0.6325,0.2145
As,2d,4s,6h,6c,2s,3s,0.55,0.5
5c,Tc,Kh,2c,Qd,3d,Kc,0.456,0.2185
2h,7d,9h,Qs,Kh,5h,7s,0.3115,0.5125
Ah,2h,Kc,Td,6s,Jd,Ks,0.5545,0.4505
6s,Ac,5c,5h,Kc,3h,7d,0.5775,0.446
8h,As,7c,Kh,9c,3c,5h,0.6065,0.2715
7c,As,2d,Kd,2s,9s,5c,0.6075,0.458
Ad,Qc,Ah,Jd,Kc,Kh,4d,0.6155,0.8725
9h,4s,Qs,4c,6s,Js,Kc,0.3965,0.3755
3d,3s,3c,9d,Qs,Ts,4d,0.532,0.949
4c,9c,3s,5h,5s,2d,9s,0.4445,0.736
5s,Qh,Js,6c,8s,3d,Kd,0.5175,0.2325
4c,3h,7c,2c,Ac,9h,9s,0.3355,0.0065
Jh,3d,4s,Ah,Qd,3h,Qs,0.47,0.5745
2h,Qh,Jd,2s,6c,2d,6s,0.5215,0.88
8s,7d,As,9c,5h,Kh,Kc,0.463,0.1735
2h,8d,Qh,3c,Kd,Qd,9d,0.3635,0.179
8h,3s,Js,Tc,9s,As,3h,0.3665,0.3955
2c,2s,Kd,4s,Qd,9d,5s,0.545,0.3635
5h,4h,9h,Ah,7c,8d,Qc,0.4085,0.064
8s,5h,2h,2c,3h,Jd,Qd,0.44,0.098
7h,Ts,6d,3s,6s,5c,8s,0.468,0.0655
7h,4c,3d,5s,Kh,5d,9s,0.3735,0.0515
Js,Jd,Th,9d,7c,7h,Tc,0.7805,0.7755
Jh,8s,4c,Ts,Kh,5s,3c,0.5035,0.1655
7s,Qd,Js,Ks,Ts,6s,4s,0.519,0.841
7h,Td,4s,8c,6c,9s,4d,0.4825,0.9655
5c,Jh,7c,7h,Kc,Jd,5h,0.5145,0.733
2s,Ks,Tc,4c,Jc,5c,7c,0.536,0.3715
4d,Qc,8d,2s,Th,Ad,Jd,0.4865,0.2195
2c,Jh,4h,3d,As,7c,8c,0.427,0.1415
Ah,4c,Qh,7s,8c,5h,4s,0.565,0.3665
8c,5c,5h,4d,Jd,4c,8d,0.4585,0.6975
3h,9d,5h,Ks,Qc,Kh,Td,0.3805,0.26
6s,5c,4h,3c,7d,2s,8c,0.4135,0.9975
Kh,6s,2h,Ad,Jc,Kd,Js,0.538,0.7475
8c,2s,7s,2h,8s,Ad,7h,0.35,0.738
Td,3h,9d,Th,9c,Ks,2d,0.4395,0.7065
9s,7s,2d,7d,7h,Qc,As,0.509,0.974
6h,5c,8c,7d,3h,8s,Ad,0.406,0.0615
6d,8d,Ts,3c,6s,Th,7h,0.4815,0.6665
Jh,2d,7h,7c,Qs,Jd,3c,0.439,0.743
2h,6d,6s,Kh,Kd,5h,8s,0.3495,0.6435
5d,6d,Th,3h,Ks,Qh,7d,0.4465,0.0465
5h,9d,Td,3h,8c,3d,Ac,0.4325,0.185
2s,5d,4s,Qd,As,Ah,6h,0.357,0.022
9s,Ks,Qh,5s,Qc,3c,2s,0.5915,0.3465
8h,Ts,2s,5c,Qd,Ks,6h,0.487,0.164
3s,Qd,4c,Th,7c,Ad,Jd,0.479,0.2215
8h,7c,8c,6c,5c,2s,3s,0.4565,0.586
Jc,Kh,8d,Ac,6c,2c,5c,0.579,0.916
2s,6s,6c,9c,As,Jh,Jd,0.3695,0.5985
Jh,4h,5d,7c,8d,Kd,Jc,0.485,0.6915
9h,Ad,7c,8d,6d,5s,As,0.6045,0.931
Kc,Ah,Js,Qd,9s,2d,Jh,0.63,0.4825
Qh,Ts,3d,2h,6h,Td,As,0.591,0.753
2c,2d,Qs,Qc,5s,Kd,7s,0.524,0.4705
Qs,Jc,6d,4s,7c,5h,9c,0.588,0.066
Th,Ad,5s,8d,4d,6c,7s,0.639,0.4085
Ks,5c,Kd,6d,3h,4s,4c,0.5405,0.7765
4s,Ad,5h,Jc,6c,4d,7c,0.567,0.249
Qd,Js,7s,6c,Kc,3c,Kh,0.583,0.353
5d,Tc,Ad,Qs,Kc,9d,9c,0.427,0.2635
Kc,Qs,8d,4c,5d,Js,Qh,0.6145,0.8485
2c,Ah,Th,5d,5s,7d,6s,0.5505,0.4095
4c,9s,8c,5d,Ts,2h,Jd,0.401,0.0865
3s,Ah,8h,4d,3c,Th,2s,0.5445,0.5685
4d,9d,Qs,Ts,2c,Ks,4h,0.445,0.5265
8c,4s,Kh,5d,9h,3d,Qc,0.384,0.101
9c,4s,9d,Ac,6d,7c,Jh,0.3975,0.623
Jd,Ks,4s,Qd,3h,Qs,Qh,0.599,0.559
8c,9d,4c,Jd,6h,Jh,Th,0.494,0.1875
2c,6d,5h,Ah,Kc,Qd,8s,0.322,0.0605
Jh,Th,Kh,Qc,8c,4h,Ac,0.583,0.9485
9s,5c,Qc,6d,4s,Ah,3c,0.4425,0.0865
Kd,8c,Qs,Ad,6c,Kc,9c,0.548,0.7565
3d,6h,Kh,Kc,Th,7h,6c,0.391,0.51
Tc,4c,4s,9s,Kh,Ac,Jc,0.457,0.421
3h,6s,9d,Kd,8h,2c,5s,0.3515,0.021
3d,4s,8s,9c,2s,3s,8d,0.328,0.643
8s,5c,Jd,8h,7d,2c,As,0.4035,0.62
8h,Qs,Qh,Kc,2d,2c,3c,0.535,0.682
Jd,4h,8h,Jh,Td,7s,6c,0.434,0.6565
3d,Jc,6c,Tc,Ad,8d,9s,0.4355,0.112
4d,8s,2s,6h,Jc,4h,Ad,0.385,0.529
5c,8c,6h,5s,As,2h,Ad,0.4435,0.6695
Kd,4d,7c,Qs,Tc,Td,Qh,0.537,0.6185
Ks,Ac,8s,9d,Js,8c,Ts,0.659,0.2735
5s,6h,4c,Td,2d,Jc,5d,0.3855,0.563
6c,8c,Jd,Ts,9c,4s,9d,0.4555,0.1685
3h,5s,6h,Jc,Tc,4d,Ah,0.373,0.0135
Th,Qd,Jc,3s,4h,7c,Kd,0.5755,0.279
2s,4d,2h,7d,8s,9h,3s,0.3505,0.3875
Qc,Jc,2c,Jd,Ac,3h,As,0.635,0.8615
8s,4h,Jd,Qs,9s,Ts,7c,0.3845,0.7495
8s,Ad,7h,3c,Tc,9s,Jh,0.596,0.9095
Kh,4s,9d,Th,9h,Qd,3h,0.5175,0.3225
4h,Jh,9c,Js,Ks,3s,Ts,0.49,0.358
9h,Th,2s,6s,8c,9c,Qd,0.552,0.7205
Ah,Kh,4d,Qc,4s,Ac,Td,0.668,0.877
Ks,9s,Qd,9h,6d,3h,Kh,0.594,0.931
7s,Js,4c,6d,4h,9c,Kc,0.508,0.2415
5c,7h,7s,Th,Kc,9c,Js,0.4015,0.266
5s,9d,2c,4c,5d,Ac,As,0.4205,0.642
Qc,2c,Td,7d,Ad,3d,Jc,0.49,0.1375
9d,4c,Qc,6s,Js,4h,9h,0.4055,0.9005
9d,8h,5d,5s,6d,Tc,6s,0.4945,0.101
6h,8h,Jd,Ac,Ks,2c,9s,0.478,0.1855
8d,Ks,6s,6h,Td,6c,8s,0.5795,0.7705
Th,9s,8h,6h,3c,2d,4c,0.485,0.0335
9s,Tc,6d,Ah,Qh,7c,6c,0.51,0.263
Kh,Qc,Jc,9h,2s,Ks,Jd,0.6505,0.877
Jh,7d,5s,4d,6h,Tc,Js,0.5205,0.8045
7s,Qd,8d,2h,4d,4h,4s,0.505,0.353
8s,Jc,Kh,Js,5c,4h,Jd,0.5095,0.9695
8c,2h,Jh,7s,4c,7c,Ac,0.345,0.1135
Kc,9s,Ks,7s,4d,6s,4c,0.5815,0.7985
3d,9h,Ts,6h,4h,Kd,8c,0.3915,0.0875
As,Qs,5s,4d,7h,Js,Kc,0.658,0.3815
As,9d,2c,Qh,7s,4d,5d,0.5965,0.295
Qc,2h,Qd,9d,Jc,8h,2d,0.477,0.778
8d,4s,6h,6d,Tc,Kh,2s,0.3845,0.115
3s,Ad,5c,2s,Kc,6h,3d,0.5595,0.4525
Kc,9c,Qc,4d,4h,4s,2d,0.5995,0.4715
7h,5s,6s,Ks,Td,4c,2s,0.4015,0.016
3d,6h,8c,4s,7h,2h,8d,0.3705,0.015
3c,5h,2d,9s,Kh,Ac,6c,0.3465,0.0205
Tc,3c,Th,As,Jh,Qs,6h,0.463,0.4495
9h,2c,7c,5c,6h,3h,9s,0.3775,0.504
6h,4s,3c,3h,Qd,Qc,Kc,0.379,0.2295
Jc,2c,4h,Js,Ad,4d,Ks,0.473,0.639
Jd,Jc,Ac,Js,Ts,8d,9c,0.7765,0.678
Th,2h,7h,9d,Tc,5s,3d,0.455,0.774
Ah,7d,7c,Ts,9h,5s,2c,0.5655,0.652
4d,6h,Ad,Qc,Jd,Qs,Kc,0.3935,0.205
8c,Ts,7c,9c,Qc,Tc,3h,0.4665,0.87
9h,6s,3c,4c,8c,9d,Ac,0.4655,0.4325
6s,Ad,5d,Kd,Qs,As,5h,0.562,0.8305
4d,Ks,Kc,Qd,6c,3s,2c,0.5095,0.788
Js,9s,Td,9d,Jh,8c,Ks,0.551,0.6055
4s,7d,9c,Kd,Qs,Jh,5c,0.3835,0.0925
3d,4d,3h,2d,Jd,7s,Kc,0.401,0.552
3s,Ks,5c,4h,Qs,2c,Js,0.5435,0.224
Kc,Th,9h,4d,5h,4s,Td,0.591,0.8455
2c,3c,Qh,3h,Qd,Ad,2h,0.3835,0.6675
Jd,5c,Kd,8d,9c,7d,Jh,0.504,0.5415
Tc,Js,8h,6d,3s,Ks,Ad,0.558,0.2605
Ac,Qh,3h,Jc,4d,9s,2c,0.6755,0.348
7s,4c,Ac,Qs,7h,6h,As,0.367,0.7105
8h,Ts,6d,2s,Qs,4c,8d,0.525,0.756
6h,9c,6s,Ac,Qd,8c,Ad,0.4475,0.623
5d,Js,3c,Qd,Qh,3h,8s,0.4765,0.3795
4h,Ad,Ah,Jd,8d,5d,Ks,0.587,0.822
Js,4s,7d,7h,2d,6h,Ts,0.4895,0.132
3c,8s,Ac,6c,9s,Jd,7c,0.382,0.108
6h,Qc,Th,Jh,3c,Kh,8h,0.4975,0.814
Qc,Qh,4c,As,6c,Qd,3h,0.7875,0.958
3h,As,5s,7c,Tc,Qs,9c,0.555,0.2725
7s,Th,Ad,Kd,Ah,2c,3s,0.48,0.2425
7s,3s,Ac,8h,Jd,7d,Ad,0.419,0.5635
9h,8c,5c,2c,3h,2h,6h,0.4795,0.039
5s,Qc,Td,6s,8d,Kc,6h,0.5175,0.34
Ac,7h,4h,Kh,Ks,9c,3s,0.5955,0.465
Jd,3h,Qd,As,9d,6s,7d,0.471,0.1945
6c,Td,5c,3s,9c,4c,Ah,0.444,0.032
6d,Ks,Jh,Qh,8h,Th,4s,0.551,0.0985
2d,Js,5c,7c,8d,7s,4c,0.445,0.0935
8h,8d,Tc,Ts,3h,4d,4s,0.6875,0.807
3s,2d,7c,4h,Jd,Jh,Ah,0.334,0.004
8c,2h,Tc,Qs,Qd,Ah,7h,0.3765,0.1815
Kc,Qh,6d,2c,8h,Qs,Jh,0.605,0.871
3h,5d,2c,6s,3c,Kh,5s,0.3495,0.7865
7c,3d,8s,Qh,8c,Ts,Td,0.3655,0.205
9h,5h,6d,Jh,3c,Ac,7s,0.454,0.099
Qh,5h,4h,3d,Jc,7d,4c,0.5365,0.2185
Js,7d,6s,2h,7c,8s,7h,0.4935,0.933
Ad,7h,Qd,Kc,Th,9h,Kh,0.6135,0.3485
Qh,7c,6s,Qc,Ah,7s,8h,0.531,0.909
6h,Ts,2c,9s,9c,8c,7h,0.4535,0.924
2c,Kc,5s,As,4c,Ad,Qs,0.5405,0.4085
2d,9s,Js,6d,3d,9c,Ks,0.401,0.6375
3s,2h,5s,9s,9c,3c,As,0.3455,0.5355
Qh,5h,2c,Ad,Tc,9h,Kh,0.5395,0.323
Qh,Jh,Ac,6s,7c,Qc,Js,0.6095,0.886
Qh,7s,Th,6d,4d,Kh,Qs,0.5365,0.7445
2d,Qd,Tc,Td,5d,Ac,Jh,0.523,0.3545
6c,Jh,3h,Th,6d,2d,Jc,0.4785,0.9765
3c,3d,Js,6h,Kc,Td,7h,0.5135,0.3445
7h,8d,3s,Qc,3h,2c,5s,0.475,0.043
9h,Js,9d,Qs,Ts,2s,Kc,0.566,0.8815
3d,4c,3s,6s,5h,2s,Ad,0.351,0.882
4h,5d,4c,6s,Ts,9s,Kc,0.399,0.403
3d,6s,Js,Kh,7s,Ad,8s,0.3455,0.055
8h,2s,7s,9s,4d,6c,2h,0.3755,0.412
As,9h,6d,Ks,2h,Qd,Kd,0.592,0.462
3d,Kd,2d,6s,2c,5h,Ts,0.5105,0.3175
6d,Jh,Ac,8h,4d,Kh,9d,0.4875,0.2335
4s,8d,7s,Jh,9d,9c,2d,0.385,0.103
Th,Ac,5h,2c,6s,5s,7s,0.607,0.4045
2h,Jh,4c,2s,5c,4s,Qd,0.4805,0.5575
Ah,2h,Kd,8h,7s,Qs,Jc,0.5715,0.3255
7d,Th,2d,Ac,2c,Qh,5c,0.4925,0.2365
7c,Kh,Kd,6s,Qd,6h,8d,0.518,0.806
As,7s,3h,Jh,Ts,5c,Td,0.651,0.463
Qd,3c,Qh,4s,9d,3h,2c,0.489,0.9405
6d,Ts,3c,Ah,4h,8h,5c,0.435,0.0165
Qd,Ac,Jd,Ks,8h,4d,Kd,0.633,0.471
Th,Kd,5d,2s,6s,9c,6c,0.612,0.3415
Ad,Jc,4c,Td,5h,3s,Qd,0.6235,0.3215
6c,5s,As,2d,Ad,Kd,Qd,0.39,0.0355
Qs,7h,3d,2c,6d,8h,Tc,0.538,0.1425
Kc,Qs,8c,Kh,4d,Jh,7d,0.607,0.8675
2d,8s,6d,7s,Ts,Th,3c,0.3575,0.0455
8h,9c,4s,4c,Ad,6s,Kc,0.4815,0.1535
8c,4d,As,3h,6d,7d,9c,0.409,0.034
9d,5h,Qs,Tc,8c,Js,4c,0.4325,0.8685
Ks,7s,Kh,Jd,8h,6d,4d,0.576,0.8265
Qh,9s,4h,2h,Qd,6c,Qc,0.567,0.958
Qh,Kc,Jh,8h,2s,4c,8s,0.6285,0.4005
2s,Ts,6s,9d,Jh,4c,7c,0.4435,0.068
4h,Qd,Js,Qc,Jc,9d,Ks,0.483,0.5875
2d,2h,9d,7d,Qd,Ts,5h,0.496,0.325
2d,Ah,7c,3c,Ac,As,Ks,0.515,0.916
Jc,5s,2d,Jh,2h,Ks,Ac,0.463,0.6235
As,4d,2d,2s,Qs,Ts,9s,0.585,0.975
7c,Kc,7s,Jc,7h,2d,9d,0.5555,0.9665
9c,Tc,Ad,Ah,3c,6h,Jc,0.531,0.298
2s,3h,8h,8d,Ks,Jc,4s,0.332,0.0015
4d,Ac,Qs,6s,5h,3c,6h,0.5785,0.393
3d,9h,Td,9c,8h,2c,Js,0.4095,0.395
6d,Jh,Qc,4h,2d,Qh,Ts,0.483,0.2755
Qs,Js,9s,Ts,5c,2h,Td,0.609,0.292
6c,Jh,2c,3d,7c,2s,8c,0.495,0.155
6d,7c,3d,8d,Td,2h,Ks,0.4465,0.0665
As,Ah,Ks,Kh,3c,7h,9c,0.8695,0.9025
Jh,3s,9h,Jd,6h,6c,4s,0.434,0.8335
Jd,6c,8d,Ac,4d,9s,5h,0.457,0.1485
Qd,4s,6h,2h,7s,6s,Jd,0.483,0.232
2d,3c,Jc,5c,6d,2s,4h,0.3565,0.907
2c,4c,Th,5s,6h,7c,Qs,0.3585,0.01
Ah,Kc,Kd,9d,Kh,8s,Qs,0.64,0.957
8s,4c,3c,6c,As,6h,6s,0.3815,0.1125
Jc,Ah,Qs,8c,9h,Ts,2d,0.627,0.9265
Tc,As,7d,6h,5c,6d,3c,0.616,0.3155
2c,5s,7c,Ts,Jh,Ac,3c,0.3305,0.0265
5c,9d,6c,9s,9c,Kc,4d,0.4065,0.905
Td,6d,Ac,6h,2h,9s,Qh,0.4725,0.5575
Ks,7c,Tc,9h,Qh,Ad,Ts,0.542,0.4505
2c,Qs,3d,5h,Jc,Js,Jh,0.471,0.301
4s,5c,2c,7h,3d,5s,7d,0.3755,0.772
Th,4h,Ks,Qc,Jd,7s,3d,0.4475,0.257
6s,7s,4d,7d,As,2c,Qd,0.459,0.594
4s,8d,5s,Jh,Qd,Ac,7c,0.402,0.1185
Kc,2d,2s,As,2h,Kd,4c,0.494,0.9905
Qc,4d,7d,2d,Ks,Qs,9c,0.489,0.7345
3c,8h,Qc,2h,Qd,5d,Tc,0.386,0.093
Tc,Qd,Ad,2s,As,4c,3d,0.5705,0.291
9d,Td,6c,Kd,9s,4s,5c,0.5685,0.7285
6h,5d,Jh,2d,4d,7s,6s,0.394,0.6205
8c,8s,Tc,7c,6s,Qs,4h,0.694,0.6515
Td,Tc,Qd,8h,9d,7h,Js,0.725,0.9545
2c,6s,Kh,9d,Jc,3h,8d,0.313,0.0615
Qd,3h,3d,7d,4h,Jd,Ks,0.491,0.446
4h,9s,Ah,5h,9d,As,5s,0.4035,0.7625
Kd,Ks,Ts,7h,6c,6d,Ad,0.823,0.7585
9h,5s,Qd,6h,2d,5d,Kc,0.4395,0.479
Kc,2s,Qh,Jh,9c,5s,6d,0.5065,0.1925
5h,Th,9c,6c,4d,8h,8c,0.4535,0.0795
Js,Ad,Qh,Kc,7c,Qd,Ts,0.6445,0.9655
Ac,6d,7s,Jd,4s,Qc,Jc,0.5815,0.4615
Ad,9c,6c,5c,8d,Qs,Kh,0.6075,0.3445
2d,3d,3c,Qd,Th,9c,6h,0.373,0.4
Js,7d,Qh,Ad,Ac,8h,6h,0.528,0.314
4s,5c,8s,Ah,6h,9c,Js,0.4025,0.0365
6h,7d,Kh,9s,2h,4d,2d,0.4055,0.0545
4d,Ah,Qd,5d,9s,Ks,6d,0.5455,0.2745
Qs,5h,3c,Th,7h,4h,9c,0.5055,0.128
8h,8d,4h,Ah,6c,7h,Td,0.6675,0.6
Td,Qs,5c,5s,Ah,Ac,3c,0.5815,0.5145
Ah,Tc,6s,6d,7s,Ts,Qh,0.6135,0.706
Jd,8s,6s,2c,Kh,Jc,Qd,0.522,0.6685
9h,3h,8c,Ts,Kc,Ks,Qs,0.4355,0.241
Qs,9h,4s,Kd,As,5s,7h,0.569,0.284
9c,8s,5s,7c,8d,7s,3h,0.4845,0.7895
6h,Ks,7h,2s,3s,Jc,4c,0.528,0.2305
4c,8h,Kc,Jh,6d,Qd,Jc,0.414,0.183
5h,7d,3c,9d,8h,9h,2d,0.423,0.062
7c,Jh,9h,2c,Kc,2s,8s,0.5105,0.2635
2s,Ac,Kc,6d,9h,Jh,Th,0.553,0.2225
Tc,Ks,Jd,Qh,4d,6s,2h,0.5735,0.2855
4s,5h,2h,3c,Qd,Ah,2c,0.4035,0.967
Tc,9d,6s,Jc,8s,3c,Ac,0.5215,0.176
Ac,4c,As,4d,5h,4s,2s,0.6095,0.988
3d,Kh,6d,2c,6c,4d,Qh,0.529,0.322
Kh,4c,Td,2d,4d,9h,6s,0.569,0.531
6c,9d,Tc,Qc,9h,As,8s,0.442,0.4695
5s,9h,Tc,4s,5h,3c,9d,0.45,0.9155
6h,Qc,4d,Ad,8h,Ts,7s,0.508,0.2165
3c,7d,5d,5c,9s,8d,Ac,0.364,0.0635
Jd,Ts,Ks,6s,5s,5h,8h,0.5555,0.2345
8h,Jc,4d,2h,Kc,6c,Qc,0.5135,0.249
5c,Ks,4d,8s,9d,Ah,Qc,0.528,0.3035
Ts,5d,Ac,8s,Qc,Qd,Kh,0.4665,0.351
9c,Js,3c,Ah,Qh,Qs,Kc,0.521,0.4515
7d,6c,5d,Qc,6h,2h,4d,0.451,0.5685
5d,Qc,2d,As,Jd,4s,9c,0.4845,0.223
Qc,2c,4c,Jh,Ad,8s,Jd,0.491,0.336
Kh,3d,Kd,Ad,7c,Th,3h,0.5035,0.9285
Ks,6h,Ad,5h,Td,6s,6c,0.5335,0.9845
5s,Qh,9d,9h,Jd,6s,2h,0.4865,0.2515
Qc,7d,Kh,Jd,3h,9s,7h,0.517,0.5445
8s,Kh,As,8c,Qh,7d,6d,0.5645,0.6345
7h,Kh,8c,Ad,7d,6c,2s,0.564,0.6365
5h,7s,5c,Ks,2d,6h,Tc,0.4035,0.5345
2h,Kc,4s,8s,7c,Ah,5c,0.518,0.213
5h,Kh,As,2c,Td,4d,Jh,0.564,0.2885
9c,Ks,Kh,5c,Jd,Kd,Ad,0.5745,0.896
3s,3h,Qs,9s,Kh,5d,Jd,0.5495,0.2755
6c,Js,Qh,6h,8h,9c,2c,0.4545,0.4735
Qc,7s,Kh,Jc,Kd,Qs,3d,0.5215,0.8155
6d,4h,Kh,Kc,Ad,Js,8c,0.367,0.109
6h,3h,5d,Jc,Ks,9s,7h,0.392,0.0645
Kh,6c,Kd,Th,5d,Jc,5h,0.524,0.82
5d,Js,6h,Kd,4h,7s,9s,0.46,0.126
2s,Kh,Jh,7c,2c,4c,8s,0.5195,0.422
9h,8d,6d,Ac,7c,2s,2c,0.473,0.118
3d,6s,Th,7d,Qh,Ts,3c,0.3635,0.5845
6h,Jh,Qc,5h,Qd,Qs,6c,0.5035,0.8775
Qc,7d,3c,8h,Tc,2c,9h,0.5055,0.1715
Tc,6s,Qd,Jh,5s,Qh,4h,0.4565,0.2265
6s,6d,3c,Ks,8h,Kd,Kc,0.663,0.7905
6s,9s,9h,7d,2h,3h,Jd,0.4695,0.685
4c,3d,Js,Qd,2d,Kc,8s,0.3625,0.0035
As,8d,3s,Ts,6s,6c,Qc,0.596,0.4265
